Index,Name,Category,Phone,Email,Has Website,Website,Sells Online,Stars,Review Count,Publishes Fishing Report,Social Media Platforms
1,"Arrick's Fly Shop, Inc.",Fishing charter,+14066467290,arrick@arricks.com,true,http://www.arricks.com/,true,5,80,true,"Facebook,Instagram,YouTube"
2,Big Sky Anglers,Fishing store,+14066467801,646-7801info@bigskyanglers.com,true,https://www.bigskyanglers.com/,true,4.7,108,true,"Facebook,Instagram,YouTube"
3,Parks' Fly Shop,Fishing store,+14068487314,info@parksflyshop.com,true,http://www.parksflyshop.com/,true,4.6,81,true,"Facebook,Instagram"
4,Blue Ribbon Flies,Fishing store,+14066467642,brf@blueribbonflies.net,true,http://www.blue-ribbon-flies.com/,true,4.9,115,false,"Facebook,Instagram"
5,Madison River Outfitters,Fishing store,+14066469644,trout@madisonriveroutters.com,true,http://www.madisonriveroutfitters.com/,true,4.4,80,true,"Facebook,Instagram"
6,Jacklin's Outfitters,Store,+14066467336,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,4.6,47,NO_WEBSITE,NO_WEBSITE
7,TRR Outfitters - Island Park Fly Shop,Fishing store,+12085587501,NO_EMAIL_FOUND,true,http://www.trroutfitters.com/,true,4.7,15,true,"Facebook,Instagram,Vimeo,X (Twitter)"
8,Yellowstone Fly Fishing Co.,Fishing charter,+14069461930,yellowstonefishingco@gmail.com?,true,https://www.yellowstoneflyfishingco.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp,false,5,128,false,Instagram
9,Wild Trout Outfitters Inc.,Fishing store,+14069952975,fish@wildtroutoutfitters.com,true,http://www.wildtroutoutfitters.com/,true,4.7,111,false,"Facebook,Instagram"
10,TRR Outfitters - Ashton Fly Shop,Fishing store,+12086523008,NO_EMAIL_FOUND,true,http://www.trroutfitters.com/,true,4.6,49,true,"Facebook,Instagram,Vimeo,X (Twitter)"
11,West Yellowstone Outfitters,Fishing charter,NO_PHONE_NUMBER_FOUND,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,2,NO_WEBSITE,NO_WEBSITE
12,Jim's Fly Co. Fly Shop,Bait shop,+14066467258,houseofhackle@gmail.com,true,http://www.jimsflyco.com/,true,5,9,false,Facebook
13,TRR Outfitters - Driggs Fly Shop,Fishing store,+12083541200,NO_EMAIL_FOUND,true,http://www.trroutfitters.com/,true,4.4,36,true,"Facebook,Instagram,Vimeo,X (Twitter)"
14,Angler’s West Fly Fishing Outfitters,Fishing store,+14063334401,ERROR_CHECKING_EMAIL,true,https://www.montanaflyfishers.com/,true,4.7,67,true,"Facebook,Instagram"
15,Henry's Fork Anglers Llc,Fishing store,+12085587525,ERROR_CHECKING_EMAIL,true,http://www.henrysforkanglers.com/,true,4.5,152,true,"Facebook,Instagram"
16,Beartooth Flyfishing,Fishing store,+14066827525,NO_EMAIL_FOUND,true,https://www.beartoothflyfishing.com/,true,5,64,true,
17,Cutthroat Fly Shop & Adventures,Fishing charter,+13074553468,ERROR_CHECKING_EMAIL,true,https://www.cutthroatflyshop.com/,true,4.9,52,true,"Facebook,Instagram"
