index,name,category,phone,email,hasWebsite,website,sellsOnline,stars,reviewCount,publishesFishingReport,socialMedia
1,Big Sky Anglers,Fishing store,+14066467801,646-7801info@bigskyanglers.com,true,https://www.bigskyanglers.com/,true,4.7,108,true,"Facebook,Instagram,YouTube"
2,Parks' Fly Shop,Fishing store,+14068487314,info@parksflyshop.com,true,http://www.parksflyshop.com/,true,4.6,82,true,"Facebook,Instagram"
3,"Arrick's Fly Shop, Inc.",Fishing charter,+14066467290,arrick@arricks.com,true,http://www.arricks.com/,true,4.9,79,true,"Facebook,Instagram,YouTube"
4,Blue Ribbon Flies,Fishing store,+14066467642,brf@blueribbonflies.net,true,http://www.blue-ribbon-flies.com/,true,4.9,115,false,"Facebook,Instagram"
5,Jacklin's Outfitters,Store,+14066467336,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,4.6,47,NO_WEBSITE,NO_WEBSITE
6,Madison River Outfitters,Fishing store,+14066469644,trout@madisonriveroutters.com,true,http://www.madisonriveroutfitters.com/,true,4.4,80,true,"Facebook,Instagram"
7,Yellowstone Fly Fishing Co.,Fishing charter,+14069461930,yellowstonefishingco@gmail.com?,true,https://www.yellowstoneflyfishingco.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp,false,5,128,false,Instagram
8,West Yellowstone Outfitters,Fishing charter,NO_PHONE_NUMBER_FOUND,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,2,NO_WEBSITE,NO_WEBSITE
9,TRR Outfitters - Island Park Fly Shop,Fishing store,+12085587501,NO_EMAIL_FOUND,true,http://www.trroutfitters.com/,true,4.7,15,true,"Facebook,Instagram,Vimeo,X (Twitter)"
10,Drift Lodge & Fly Shop,NO_CATEGORY_FOUND,+12085580152,driftlodge@gmail.com,true,http://www.driftlodge.com/,true,4,208,false,
11,Jim's Fly Co. Fly Shop,Bait shop,+14066467258,PAGE_LOAD_FAILED,true,http://www.jimsflyco.com/,PAGE_LOAD_FAILED,5,9,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
12,TRR Outfitters - Ashton Fly Shop,Fishing store,+12086523008,NO_EMAIL_FOUND,true,http://www.trroutfitters.com/,true,4.6,49,true,"Facebook,Instagram,Vimeo,X (Twitter)"
13,Wild Trout Outfitters Inc.,Fishing store,+14069952975,fish@wildtroutoutfitters.com,true,http://www.wildtroutoutfitters.com/,true,4.7,111,false,"Facebook,Instagram"
14,Henry's Fork Anglers Llc,Fishing store,+12085587525,ERROR_CHECKING_EMAIL,true,http://www.henrysforkanglers.com/,true,4.6,154,true,"Facebook,Instagram"
15,TRR Outfitters - Driggs Fly Shop,Fishing store,+12083541200,NO_EMAIL_FOUND,true,http://www.trroutfitters.com/,true,4.5,37,true,"Facebook,Instagram,Vimeo,X (Twitter)"
16,Gallatin River Guides,Fishing charter,+14069952290,info@gallatinriverguides.com,true,https://www.montanaflyfishing.com/,false,4.9,327,true,"Facebook,Instagram,TikTok,YouTube"
17,Angler’s West Fly Fishing Outfitters,Fishing store,+14063334401,ERROR_CHECKING_EMAIL,true,https://www.montanaflyfishers.com/,true,4.7,68,true,"Facebook,Instagram"
18,Galloup's Slide Inn,NO_CATEGORY_FOUND,+14066824804,slideinn@slideinn.com,true,http://www.slideinn.com/,true,4.9,170,true,"Facebook,Instagram,YouTube"
19,Trout Stalkers - Outfitter and Fly Shop,Fishing store,NO_PHONE_NUMBER_FOUND,flyshop@montanatrout.com,true,http://www.montanatrout.com/,true,4.7,78,true,"Facebook,Instagram,X (Twitter),YouTube"
20,"II Fly, LLC",Bait shop,+18889830013,ERROR_CHECKING_EMAIL,true,http://henrysforkanglers.com/,true,4.5,2,true,"Facebook,Instagram"
21,Beartooth Flyfishing,Fishing store,+14066827525,NO_EMAIL_FOUND,true,https://www.beartoothflyfishing.com/,true,5,64,true,
22,Bozeman Fly Supply,Fishing store,+14064041662,info@bozemanflysupply.com,true,http://bozemanflysupply.com/,true,4.9,116,true,"Facebook,Instagram"
23,Cutthroat Fly Shop & Adventures,Fishing charter,+13074553468,ERROR_CHECKING_EMAIL,true,https://www.cutthroatflyshop.com/,true,4.9,52,true,"Facebook,Instagram"
24,Madison River Fishing Company,Fishing store,+14066824293,flyshop@mrfc.com,true,http://www.mrfc.com/,true,4.8,117,true,"Facebook,Instagram,TikTok,YouTube"
25,The Tackle Shop - Outfitter and Fly Shop,Fishing store,+14066824263,info@thetackleshop.com,true,https://www.thetackleshop.com/?UTM_source=GMB_listing&UTM_medium=organic,true,4.8,114,true,"Facebook,Instagram,X (Twitter)"
26,Eagle's Store,Gift shop,+14065774820,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,4.3,503,NO_WEBSITE,NO_WEBSITE
27,Sweetwater Fly Shop,Fishing store,+14062229393,customerservice@sweetwaterflyshop.com,true,http://www.sweetwaterflyshop.com/,true,4.8,67,true,"Facebook,Instagram,X (Twitter),YouTube"
28,Teton Fly Fishing,Fishing charter,+13074131215,nate@tetonflyfishing.com,true,http://www.tetonflyfishing.com/,false,5,19,false,"Facebook,Instagram,YouTube"
29,Wyoming Trout Guides Fly Shop,Fishing store,+13075788217,PAGE_LOAD_FAILED,true,http://www.wyomingtroutguides.com/,PAGE_LOAD_FAILED,5,60,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
30,Dream Drift Flies - Fly Shop / Convenience Store and Motel,NO_CATEGORY_FOUND,+17205303771,info@dreamdriftflies.com,true,https://www.dreamdriftflies.com/,true,3.7,15,false,"Facebook,Instagram"
31,"Simms | The River's Edge Fly Shop",Fishing store,+14065865373,info@theriversedge.com,true,https://www.theriversedge.com/,true,4.8,87,true,"Facebook,Instagram"
32,Grand Teton Fly Fishing,Fishing charter,+13076900910,info@grandtetonflyfishing.com,true,https://grandtetonflyfishing.com/,false,4.5,51,false,"Facebook,Instagram,X (Twitter),YouTube"
33,Yellowstone Big Gun Fun,Recreation center,+14066461093,joysshootingrange@gmail.com,true,http://biggunfunwys.com/,false,4.9,410,false,"Facebook,X (Twitter)"
34,North Fork Anglers,Fishing store,+13075277274,northforkanglerscody@gmail.com,true,https://northforkanglers.com/,true,4.7,64,true,Instagram
35,Cooke City Store,General store,+14068382234,PAGE_LOAD_FAILED,true,https://cookecitystore.com/,PAGE_LOAD_FAILED,4.5,83,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
36,Hatch Finders Fly Shop,Fishing store,+14062220989,flyshop@hatchfinders.com,true,http://www.hatchfinders.com/,true,5,32,true,"Facebook,Instagram,YouTube"
37,East Slope Outdoors,Ski shop,+14069954369,ERROR_CHECKING_EMAIL,true,http://www.eastslopeoutdoors.com/,false,4.8,186,false,"Facebook,Instagram"
38,Yellow Dog Flyfishing - Fly Shop,Fishing store,+14065858667,info@yellowdogflyfishing.com,true,https://www.yellowdogflyfishing.com/yellow-dog-fly-shop/,true,4.7,139,true,"Facebook,Instagram,YouTube"
39,Snake River Angler,Fishing charter,+13077333699,fish@snakeriverangler.com,true,https://snakeriverangler.com/,true,4.6,12,true,"Facebook,Instagram"
40,House of Harrop,Fishing store,+12086243537,hoh@ida.net,true,http://www.houseofharrop.com/,false,3.5,2,false,"Facebook,Instagram,X (Twitter),YouTube"
41,The Hatch fly shop,Fishing store,+18142432050,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,true,http://www.gradientmountainsports.net/,true,5,4,false,"Facebook,Instagram"
42,WorldCast Anglers,Fishing store,+12087870082,GoFish@WorldCastAnglers.com,true,http://www.worldcastanglers.com/,true,4.8,154,true,"Facebook,Instagram,X (Twitter),YouTube"
43,Fly Fishing Only Adventures,Fishing charter,+14064463819,user@domain.com,true,http://www.flyfishingonlyadventures.com/,false,5,4,false,
44,Rusty Bison MT,Gift shop,+14066400333,example@gmail.com,true,https://therustybisonmt.com/,true,5,6,false,"Facebook,Instagram"
45,Absarokee Fly Shop,Fishing store,+14063284966,NO_EMAIL_FOUND,true,https://www.absarokeeflyshop.com/,false,5,8,false,
46,Back Cast Fly Co.,Fishing store,+12086561211,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,42,NO_WEBSITE,NO_WEBSITE
47,Montana Angler,Fishing charter,+14065229854,ERROR_CHECKING_EMAIL,true,http://www.montanaangler.com/,false,4.9,380,true,Instagram
48,Montana Troutfitters,Fishing store,+14065874707,NO_EMAIL_FOUND,true,http://www.troutfitters.com/,true,4.7,135,true,"Facebook,Instagram,YouTube"
49,Grand Fishing Adventures,Fishing charter,+13077349684,NO_EMAIL_FOUND,true,https://www.grandfishing.com/,true,4.7,12,false,"Facebook,Instagram"
50,Grizzly Peak Outdoors,Outdoor sports store,+14064450751,info@redlodgemountain.com,true,https://www.redlodgemountain.com/shopgrizzlypeak/,true,4.2,15,false,"Facebook,Instagram,X (Twitter),YouTube"
51,Spring Creek Specialists-Flies,Fishing store,+14062225664,BLOCKED_OR_FORBIDDEN (HTTP 403),true,http://www.springcreekspecialists.com/,BLOCKED_OR_FORBIDDEN (HTTP 403),4.8,13,BLOCKED_OR_FORBIDDEN (HTTP 403),BLOCKED_OR_FORBIDDEN (HTTP 403)
52,Westbank Anglers,Fishing store,+13077336483,ERROR_CHECKING_EMAIL,true,http://www.westbankanglers.com/,true,4.7,83,true,"Facebook,Instagram,YouTube"
53,The Lodge At Palisades Creek Fly Shop,Fishing store,+12084832727,ERROR_CHECKING_EMAIL,true,https://www.tlapcflyshop.com/,true,4.3,13,true,Instagram
54,FishWater Outfitters,Fishing charter,+14065314219,NO_EMAIL_FOUND,true,http://www.fishwateroutfitters.com/ennis-fly-fishing-guides,false,5,5,false,
55,Nelson's Guides & Flies LLC,Fishing store,+14065799982,Jacquie@NelsonsGuidesAndFlies.com,true,http://nelsonsguidesandflies.com/,true,5,4,false,"Facebook,Instagram"
56,Dead Drift Fly Fishing,Outdoor clothing and equipment shop,+14062193413,grant@deaddriftfly.com,true,https://www.deaddriftfly.com/,true,4,4,false,"Facebook,Instagram,YouTube"
57,TroutChasers Lodge & Fly Fishing Outfitters,NO_CATEGORY_FOUND,+14067639049,fish@montanatroutchasers.com?,true,https://www.montanatroutchasers.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,false,5,14,false,"Facebook,Instagram"
58,Montana Fish Man Outfitting,Fishing charter,+14065701438,406-570-1438brian@montanafishman.comMontana,true,http://www.montanafishman.com/,false,5,28,true,"Facebook,Instagram,X (Twitter)"
59,Three Rivers Ranch,Ranch,+12086523750,NO_EMAIL_FOUND,true,https://threeriversranch.com/,true,4.6,4,false,"Facebook,Instagram,Vimeo,X (Twitter),YouTube"
60,Camp Creek Outfitters,Fishing charter,+14065464166,campcreekguide@gmail.com,true,http://campcreekoutfitters.com/,false,5,21,false,"Facebook,Instagram"
61,George Anderson's Yellowstone Angler,Fishing store,+14062227130,406-222-7130staff@yellowstoneangler.comDirections,true,http://www.yellowstoneangler.com/,true,4.8,53,true,"Facebook,Instagram,YouTube"
